time,v_24h,obs_cover_percent
02/02/2023,96.12281621,0
03/02/2023,96.12281621,0
04/02/2023,96.12281621,0
05/02/2023,96.12281621,0
06/02/2023,96.12281621,0
07/02/2023,96.12281621,0
08/02/2023,96.12281621,0
09/02/2023,96.12281621,0
10/02/2023,96.12281621,0
11/02/2023,96.12281621,0
12/02/2023,96.12281621,0
13/02/2023,96.12281621,0
14/02/2023,96.12281621,0
15/02/2023,96.12281621,0
16/02/2023,96.12281621,0
17/02/2023,96.12281621,0
18/02/2023,96.12281621,0
19/02/2023,96.12281621,0
20/02/2023,96.12281621,0
21/02/2023,96.12281621,0
22/02/2023,96.12281621,0
23/02/2023,96.12281621,0
24/02/2023,96.12281621,0
25/02/2023,96.12281621,0
26/02/2023,96.12281621,0
27/02/2023,96.12281621,0
28/02/2023,96.12281621,0
01/03/2023,96.12281621,0
02/03/2023,96.12281621,0
03/03/2023,96.12281621,0
04/03/2023,96.12281621,0
05/03/2023,96.12281621,0
06/03/2023,96.12281621,0
07/03/2023,96.12281621,0
08/03/2023,96.12281621,0
09/03/2023,96.12281621,0
10/03/2023,96.12281621,0
11/03/2023,96.12281621,0
12/03/2023,96.12281621,0
13/03/2023,96.12281621,0
14/03/2023,96.12281621,0
15/03/2023,96.12281621,0
16/03/2023,96.12281621,0
17/03/2023,96.12281621,0
18/03/2023,96.12281621,0
19/03/2023,96.12281621,0
20/03/2023,96.12281621,0
21/03/2023,96.12281621,0
22/03/2023,96.12281621,0
23/03/2023,96.12281621,0
24/03/2023,96.12281621,0
25/03/2023,96.12281621,0
26/03/2023,96.12281621,0
27/03/2023,96.12281621,0
28/03/2023,96.12281621,0
29/03/2023,96.12281621,0
30/03/2023,96.12281621,0
31/03/2023,96.12281621,0
01/04/2023,96.12281621,0
02/04/2023,96.12281621,0
03/04/2023,96.12281621,0
04/04/2023,96.12281621,0
05/04/2023,96.12281621,0
06/04/2023,96.12281621,0
07/04/2023,96.12281621,0
08/04/2023,96.12281621,0
09/04/2023,96.12281621,0
10/04/2023,96.12281621,0
11/04/2023,96.12281621,0
12/04/2023,96.12281621,0
13/04/2023,96.12281621,0
14/04/2023,96.12281621,0
15/04/2023,96.12281621,0
16/04/2023,96.12281621,0
17/04/2023,96.12281621,0
18/04/2023,96.12281621,0
19/04/2023,96.12281621,0
20/04/2023,96.12281621,0
21/04/2023,96.12281621,0
22/04/2023,96.12281621,0
23/04/2023,96.12281621,0
24/04/2023,96.12281621,0
25/04/2023,96.12281621,0
26/04/2023,96.12281621,0
27/04/2023,96.12281621,0
28/04/2023,96.12281621,0
29/04/2023,96.12281621,0
30/04/2023,96.12281621,0
01/05/2023,96.12281621,0
02/05/2023,96.12281621,0
03/05/2023,96.12281621,0
04/05/2023,96.12281621,0
05/05/2023,96.12281621,0
06/05/2023,96.12281621,0
07/05/2023,96.12281621,0
08/05/2023,96.12281621,0
09/05/2023,96.12281621,2.349537037
